,spot-0,pe-premium-0,ce-premium-0,pe-profit-0,ce-profit-0,spot-1,pe-premium-1,ce-premium-1,pe-profit-1,ce-profit-1
169,37744.4,568.15,315.75,-78.35,105.95,37744.4,568.15,315.75,-78.35,105.95
170,37755.65,551.20,323.10,-78.35,105.95,37755.65,551.20,323.10,-78.35,105.95
171,37764.9,550.40,323.80,-78.35,105.95,37764.9,550.40,323.80,-78.35,105.95
172,37753.05,555.70,318.90,-78.35,105.95,37753.05,555.70,318.90,-78.35,105.95
173,37763.5,557.00,320.90,-78.35,105.95,37763.5,557.00,320.90,-78.35,105.95
174,37728.5,583.55,305.05,-78.35,105.95,37728.5,583.55,305.05,-78.35,105.95
175,37706.45,589.00,302.70,-78.35,105.95,37706.45,589.00,302.70,-78.35,105.95
176,37706.05,595.15,300.80,-78.35,105.95,37706.05,595.15,300.80,-78.35,105.95
177,37684.4,601.15,294.60,-78.35,105.95,37684.4,601.15,294.60,-78.35,105.95
178,37666.35,621.90,285.35,-78.35,105.95,37666.35,621.90,285.35,-78.35,105.95
179,37677.2,606.85,288.00,-78.35,105.95,37677.2,606.85,288.00,-78.35,105.95
180,37612.4,653.15,264.35,-78.35,105.95,37612.4,653.15,264.35,-78.35,105.95
181,37572.45,674.80,250.80,-78.35,105.95,37572.45,674.80,250.80,-78.35,105.95
182,37574.3,670.00,252.50,-78.35,105.95,37574.3,670.00,252.50,-78.35,105.95
183,37607.4,638.85,263.95,-78.35,105.95,37607.4,638.85,263.95,-78.35,105.95
184,37631.6,626.30,272.20,-78.35,105.95,37631.6,626.30,272.20,-78.35,105.95
185,37617.3,637.05,268.80,-78.35,105.95,37617.3,637.05,268.80,-78.35,105.95
186,37645.85,613.80,278.00,-78.35,105.95,37645.85,613.80,278.00,-78.35,105.95
187,37672.95,597.10,285.90,-78.35,105.95,37672.95,597.10,285.90,-78.35,105.95
188,37694.95,586.50,292.55,-78.35,105.95,37694.95,586.50,292.55,-78.35,105.95
189,37676.2,606.05,283.05,-78.35,105.95,37676.2,606.05,283.05,-78.35,105.95
190,37693.2,595.75,290.05,-78.35,105.95,37693.2,595.75,290.05,-78.35,105.95
191,37691.85,596.65,290.10,-78.35,105.95,37691.85,596.65,290.10,-78.35,105.95
192,37701.65,589.20,295.25,-78.35,105.95,37701.65,589.20,295.25,-78.35,105.95
193,37698.35,589.95,292.60,-78.35,105.95,37698.35,589.95,292.60,-78.35,105.95
194,37695.95,602.10,287.60,-78.35,105.95,37695.95,602.10,287.60,-78.35,105.95
195,37680.7,613.80,280.15,-78.35,105.95,37680.7,613.80,280.15,-78.35,105.95
196,37662.7,619.70,277.05,-78.35,105.95,37662.7,619.70,277.05,-78.35,105.95
197,37676.25,609.50,284.85,-78.35,105.95,37676.25,609.50,284.85,-78.35,105.95
198,37673.85,612.65,283.35,-78.35,105.95,37673.85,612.65,283.35,-78.35,105.95
199,37660.5,621.35,278.25,-78.35,105.95,37660.5,621.35,278.25,-78.35,105.95
200,37629.3,639.70,267.05,-78.35,105.95,37629.3,639.70,267.05,-78.35,105.95
201,37606.1,655.75,256.85,-78.35,105.95,37606.1,655.75,256.85,-78.35,105.95
202,37618.8,638.60,264.95,-78.35,105.95,37618.8,638.60,264.95,-78.35,105.95
203,37594.7,667.55,253.15,-78.35,105.95,37594.7,667.55,253.15,-78.35,105.95
204,37559.5,687.20,244.90,-78.35,105.95,37559.5,687.20,244.90,-78.35,105.95
205,37576.15,668.30,253.30,-78.35,105.95,37576.15,668.30,253.30,-78.35,105.95
